Zip Code,Price,Beds,Baths,Living Space,Address,City,State,Zip Code Population,Zip Code Density,County,Median Household Income,Latitude,Longitude,county_num,city_num,state_num,address_num
94123,1299000.0,2,1,1101,3124 LAGUNA ST # A,San Francisco,California,26002,9272.5,San Francisco,300463.0,37.80112,-122.43645,81,230,26,34777
94109,995000.0,2,2,1075,1461 BROADWAY APT 406,San Francisco,California,56114,20085.5,San Francisco,167261.0,37.79334,-122.42138,81,230,26,34402
94105,1499000.0,2,2,1046,280 SPEAR ST # 30D,San Francisco,California,13810,10568.6,San Francisco,347725.0,37.79239,-122.39707,81,230,26,34281
94131,3498000.0,4,3,2553,19 TOPAZ WAY,San Francisco,California,29437,5620.9,San Francisco,259573.0,37.74569,-122.44243,81,230,26,34839
94112,950000.0,4,2,1725,661 VIENNA ST,San Francisco,California,84477,9779.0,San Francisco,162512.0,37.7206,-122.44311,81,230,26,34497
94115,8500000.0,6,7,7405,3015 PACIFIC AVE,San Francisco,California,34193,11617.6,San Francisco,215550.0,37.78608,-122.43742,81,230,26,34596
94109,948000.0,1,1,732,1580 PACIFIC AVE # A4,San Francisco,California,56114,20085.5,San Francisco,167261.0,37.79334,-122.42138,81,230,26,34423
94109,2499000.0,4,4,3365,1810 JACKSON ST # 5,San Francisco,California,56114,20085.5,San Francisco,167261.0,37.79334,-122.42138,81,230,26,34396
94107,998000.0,1,2,785,72 TOWNSEND ST UNIT 603,San Francisco,California,28607,5951.9,San Francisco,226692.0,37.76473,-122.39508,81,230,26,34337
94123,1050000.0,1,1,841,2226 BEACH ST,San Francisco,California,26002,9272.5,San Francisco,300463.0,37.80112,-122.43645,81,230,26,34766
94122,1599000.0,6,6,2328,1856 28TH AVE,San Francisco,California,60144,7129.3,San Francisco,179517.0,37.76113,-122.48433,81,230,26,34733
94109,848000.0,1,1,732,1580 PACIFIC AVE # A3,San Francisco,California,56114,20085.5,San Francisco,167261.0,37.79334,-122.42138,81,230,26,34381
94115,645000.0,3,2,1050,1420 WEBSTER ST APT 5,San Francisco,California,34193,11617.6,San Francisco,215550.0,37.78608,-122.43742,81,230,26,34606
94103,898888.0,2,2,1075,140 S VAN NESS AVE UNIT 1019,San Francisco,California,32430,9113.8,San Francisco,158861.0,37.77299,-122.41136,81,230,26,34248
94109,1708000.0,2,2,1034,1580 PACIFIC AVE # H5,San Francisco,California,56114,20085.5,San Francisco,167261.0,37.79334,-122.42138,81,230,26,34426
94134,888000.0,2,1,1400,1051 GOETTINGEN ST,San Francisco,California,41977,6333.8,San Francisco,142394.0,37.71887,-122.41124,81,230,26,34899
94122,2680000.0,3,4,2635,1680 18TH AVE,San Francisco,California,60144,7129.3,San Francisco,179517.0,37.76113,-122.48433,81,230,26,34745
94108,2299000.0,3,2,1859,1049 CLAY ST,San Francisco,California,11963,17904.6,San Francisco,116916.0,37.79189,-122.40854,81,230,26,34370
94112,1799000.0,4,2,1830,15 OTSEGO AVE,San Francisco,California,84477,9779.0,San Francisco,162512.0,37.7206,-122.44311,81,230,26,34529
94130,1177000.0,1,1,1116,1 BRISTOL CT APT 115,San Francisco,California,3185,1396.2,San Francisco,147150.0,37.81975,-122.36898,81,230,26,34828
94115,645000.0,1,1,475,2595 CLAY ST APT 6,San Francisco,California,34193,11617.6,San Francisco,215550.0,37.78608,-122.43742,81,230,26,34611
94132,1808000.0,3,3,1880,120 MORNINGSIDE DR,San Francisco,California,29707,3662.2,San Francisco,146999.0,37.72219,-122.48475,81,230,26,34859
94117,1675000.0,3,2,1701,523 PIERCE ST,San Francisco,California,40701,12329.7,San Francisco,242062.0,37.77002,-122.44425,81,230,26,34646
94118,1495000.0,3,2,1422,529 3RD AVE,San Francisco,California,41456,7982.1,San Francisco,227113.0,37.7801,-122.46185,81,230,26,34664
94127,1990000.0,4,5,2311,546 MONTEREY BLVD,San Francisco,California,20927,4332.5,San Francisco,285493.0,37.73642,-122.45961,81,230,26,34815
94132,388000.0,1,1,669,8400 OCEANVIEW TER APT 315,San Francisco,California,29707,3662.2,San Francisco,146999.0,37.72219,-122.48475,81,230,26,34866
94123,4645000.0,3,5,2731,230 CAPRA WAY,San Francisco,California,26002,9272.5,San Francisco,300463.0,37.80112,-122.43645,81,230,26,34764
94134,879000.0,2,1,818,692 COLBY ST,San Francisco,California,41977,6333.8,San Francisco,142394.0,37.71887,-122.41124,81,230,26,34909
94117,749000.0,2,1,846,404 ASHBURY ST APT 3,San Francisco,California,40701,12329.7,San Francisco,242062.0,37.77002,-122.44425,81,230,26,34651
94112,1200000.0,3,2,1320,83 LISBON ST,San Francisco,California,84477,9779.0,San Francisco,162512.0,37.7206,-122.44311,81,230,26,34525
94109,1448000.0,2,2,1034,1580 PACIFIC AVE # H3,San Francisco,California,56114,20085.5,San Francisco,167261.0,37.79334,-122.42138,81,230,26,34433
94110,999000.0,4,3,1462,3307 20TH ST,San Francisco,California,70859,11447.9,San Francisco,223044.0,37.74975,-122.41528,81,230,26,34446
94130,4301000.0,3,4,2040,1 BRISTOL CT APT 506,San Francisco,California,3185,1396.2,San Francisco,147150.0,37.81975,-122.36898,81,230,26,34827
94109,1465000.0,2,2,1519,757 N POINT ST APT 2,San Francisco,California,56114,20085.5,San Francisco,167261.0,37.79334,-122.42138,81,230,26,34399
94114,1125000.0,2,2,897,3824 24TH ST # 201,San Francisco,California,34474,9612.9,San Francisco,254595.0,37.75814,-122.43547,81,230,26,34549
94133,1199000.0,2,2,981,455 VALLEJO ST APT 204,San Francisco,California,26090,15319.0,San Francisco,141326.0,37.80193,-122.41092,81,230,26,34891
94131,950000.0,2,2,1175,5150 DIAMOND HEIGHTS BLVD APT 208B,San Francisco,California,29437,5620.9,San Francisco,259573.0,37.74569,-122.44243,81,230,26,34846
94124,755000.0,2,1,1041,1670 NEWCOMB AVE,San Francisco,California,35982,2910.8,San Francisco,111827.0,37.73204,-122.3858,81,230,26,34804
94114,1999000.0,3,3,2298,123 VILLA TER,San Francisco,California,34474,9612.9,San Francisco,254595.0,37.75814,-122.43547,81,230,26,34573
94124,799000.0,2,1,1176,76 SANTA FE AVE,San Francisco,California,35982,2910.8,San Francisco,111827.0,37.73204,-122.3858,81,230,26,34802
94114,1995000.0,3,3,1677,3824 24TH ST # 401,San Francisco,California,34474,9612.9,San Francisco,254595.0,37.75814,-122.43547,81,230,26,34557
94110,1499000.0,2,1,1100,74 MULLEN AVE,San Francisco,California,70859,11447.9,San Francisco,223044.0,37.74975,-122.41528,81,230,26,34459
94121,1450000.0,3,2,1900,155 SEAL ROCK DR,San Francisco,California,43964,6697.2,San Francisco,187450.0,37.77849,-122.49548,81,230,26,34686
94107,1225000.0,2,2,959,1300 22ND ST APT 215,San Francisco,California,28607,5951.9,San Francisco,226692.0,37.76473,-122.39508,81,230,26,34352
94123,1675000.0,3,2,1256,2195 GREEN ST APT 5,San Francisco,California,26002,9272.5,San Francisco,300463.0,37.80112,-122.43645,81,230,26,34756
94108,7700000.0,2,3,3474,1001 CALIFORNIA ST # 3,San Francisco,California,11963,17904.6,San Francisco,116916.0,37.79189,-122.40854,81,230,26,34365
94110,1000000.0,2,2,1230,354 SHOTWELL ST,San Francisco,California,70859,11447.9,San Francisco,223044.0,37.74975,-122.41528,81,230,26,34463
94108,1645000.0,2,2,1960,1045 MASON ST APT 201,San Francisco,California,11963,17904.6,San Francisco,116916.0,37.79189,-122.40854,81,230,26,34366
94116,1250000.0,3,2,1790,2562 35TH AVE,San Francisco,California,45510,6956.0,San Francisco,201841.0,37.74457,-122.48611,81,230,26,34635
94110,1499000.0,2,2,1267,1268 DOLORES ST,San Francisco,California,70859,11447.9,San Francisco,223044.0,37.74975,-122.41528,81,230,26,34453
94115,1200000.0,2,2,1104,2735 BUSH ST,San Francisco,California,34193,11617.6,San Francisco,215550.0,37.78608,-122.43742,81,230,26,34599
94107,549000.0,1,1,622,250 KING ST UNIT 854,San Francisco,California,28607,5951.9,San Francisco,226692.0,37.76473,-122.39508,81,230,26,34349
94107,975000.0,2,2,1078,140 PENNSYLVANIA AVE APT 202,San Francisco,California,28607,5951.9,San Francisco,226692.0,37.76473,-122.39508,81,230,26,34321
94109,1698000.0,2,2,1182,1580 PACIFIC AVE # K3,San Francisco,California,56114,20085.5,San Francisco,167261.0,37.79334,-122.42138,81,230,26,34391
94110,1340000.0,2,1,1330,3573 19TH ST,San Francisco,California,70859,11447.9,San Francisco,223044.0,37.74975,-122.41528,81,230,26,34439
94109,978000.0,1,1,755,1580 PACIFIC AVE # C4,San Francisco,California,56114,20085.5,San Francisco,167261.0,37.79334,-122.42138,81,230,26,34406
94105,1318000.0,1,1,972,201 FOLSOM ST APT 35D,San Francisco,California,13810,10568.6,San Francisco,347725.0,37.79239,-122.39707,81,230,26,34300
94110,995000.0,2,2,1090,2830 22ND ST APT 3,San Francisco,California,70859,11447.9,San Francisco,223044.0,37.74975,-122.41528,81,230,26,34480
94117,4575000.0,5,4,4114,828 ASHBURY ST,San Francisco,California,40701,12329.7,San Francisco,242062.0,37.77002,-122.44425,81,230,26,34652
94112,1395000.0,4,3,1548,161 EDINBURGH ST,San Francisco,California,84477,9779.0,San Francisco,162512.0,37.7206,-122.44311,81,230,26,34539
94105,899000.0,2,1,823,280 SPEAR ST # 1F,San Francisco,California,13810,10568.6,San Francisco,347725.0,37.79239,-122.39707,81,230,26,34294
94112,1720000.0,9,7,3569,349 WINDING WAY,San Francisco,California,84477,9779.0,San Francisco,162512.0,37.7206,-122.44311,81,230,26,34535
94107,1125000.0,2,2,1303,615 TENNESSEE ST APT 101,San Francisco,California,28607,5951.9,San Francisco,226692.0,37.76473,-122.39508,81,230,26,34318
94107,925000.0,1,1,882,200 BRANNAN ST APT 121,San Francisco,California,28607,5951.9,San Francisco,226692.0,37.76473,-122.39508,81,230,26,34335
94112,1198000.0,3,2,1670,315 MOUNT VERNON AVE,San Francisco,California,84477,9779.0,San Francisco,162512.0,37.7206,-122.44311,81,230,26,34524
94109,1079000.0,2,1,1109,1855 SACRAMENTO ST APT 11,San Francisco,California,56114,20085.5,San Francisco,167261.0,37.79334,-122.42138,81,230,26,34412
94115,5700000.0,5,6,3952,2008 LYON ST,San Francisco,California,34193,11617.6,San Francisco,215550.0,37.78608,-122.43742,81,230,26,34581
94112,1395000.0,5,4,2292,109 LOUISBURG ST,San Francisco,California,84477,9779.0,San Francisco,162512.0,37.7206,-122.44311,81,230,26,34509
94121,2599000.0,4,4,2983,801 38TH AVE,San Francisco,California,43964,6697.2,San Francisco,187450.0,37.77849,-122.49548,81,230,26,34685
94105,2995000.0,2,3,1678,1 STEUART LN UNIT 905,San Francisco,California,13810,10568.6,San Francisco,347725.0,37.79239,-122.39707,81,230,26,34291
94121,1898000.0,3,4,1771,320 30TH AVE,San Francisco,California,43964,6697.2,San Francisco,187450.0,37.77849,-122.49548,81,230,26,34699
94133,1495000.0,1,1,994,999 GREEN ST APT 2405,San Francisco,California,26090,15319.0,San Francisco,141326.0,37.80193,-122.41092,81,230,26,34886
94133,2395000.0,2,2,2160,1020 UNION ST APT 7,San Francisco,California,26090,15319.0,San Francisco,141326.0,37.80193,-122.41092,81,230,26,34885
94110,899000.0,3,2,1156,380 DOLORES ST APT 1,San Francisco,California,70859,11447.9,San Francisco,223044.0,37.74975,-122.41528,81,230,26,34469
94118,1750000.0,3,3,1734,568 6TH AVE,San Francisco,California,41456,7982.1,San Francisco,227113.0,37.7801,-122.46185,81,230,26,34671
94107,898000.0,3,1,1109,23 BLAIR TER,San Francisco,California,28607,5951.9,San Francisco,226692.0,37.76473,-122.39508,81,230,26,34341
94131,995000.0,4,2,1445,526 ARLINGTON ST,San Francisco,California,29437,5620.9,San Francisco,259573.0,37.74569,-122.44243,81,230,26,34832
94133,2299000.0,2,2,1616,1070 GREEN ST APT 601,San Francisco,California,26090,15319.0,San Francisco,141326.0,37.80193,-122.41092,81,230,26,34888
94122,1495000.0,2,2,1425,1778 10TH AVE,San Francisco,California,60144,7129.3,San Francisco,179517.0,37.76113,-122.48433,81,230,26,34732
94110,1295000.0,3,1,1510,1281 DOLORES ST,San Francisco,California,70859,11447.9,San Francisco,223044.0,37.74975,-122.41528,81,230,26,34476
94105,1258000.0,1,1,819,425 1ST ST UNIT 4307,San Francisco,California,13810,10568.6,San Francisco,347725.0,37.79239,-122.39707,81,230,26,34296
94112,1050000.0,2,2,1908,527 FAXON AVE,San Francisco,California,84477,9779.0,San Francisco,162512.0,37.7206,-122.44311,81,230,26,34537
94109,925000.0,2,2,1000,818 VAN NESS AVE APT 705,San Francisco,California,56114,20085.5,San Francisco,167261.0,37.79334,-122.42138,81,230,26,34407
94109,828000.0,1,1,892,1341 UNION ST APT 10,San Francisco,California,56114,20085.5,San Francisco,167261.0,37.79334,-122.42138,81,230,26,34432
94109,6375000.0,6,8,7930,2323 HYDE ST,San Francisco,California,56114,20085.5,San Francisco,167261.0,37.79334,-122.42138,81,230,26,34404
94123,9995000.0,5,7,4303,2741 VALLEJO ST,San Francisco,California,26002,9272.5,San Francisco,300463.0,37.80112,-122.43645,81,230,26,34779
94107,799000.0,1,1,822,250 KING ST UNIT 1410,San Francisco,California,28607,5951.9,San Francisco,226692.0,37.76473,-122.39508,81,230,26,34336
94124,1290000.0,4,3,1774,1119 HOLLISTER AVE,San Francisco,California,35982,2910.8,San Francisco,111827.0,37.73204,-122.3858,81,230,26,34805
94133,1895000.0,2,3,1525,870 UNION ST,San Francisco,California,26090,15319.0,San Francisco,141326.0,37.80193,-122.41092,81,230,26,34894
94105,2995000.0,3,3,2905,246 2ND ST APT 1701,San Francisco,California,13810,10568.6,San Francisco,347725.0,37.79239,-122.39707,81,230,26,34279
94107,1188000.0,2,2,1116,88 KING ST UNIT 318,San Francisco,California,28607,5951.9,San Francisco,226692.0,37.76473,-122.39508,81,230,26,34338
94158,1538000.0,2,2,1308,708 LONG BRIDGE ST APT 608,San Francisco,California,10658,6736.3,San Francisco,244957.0,37.77116,-122.39153,81,230,26,34922
94102,1795000.0,4,3,1921,712 HAYES ST,San Francisco,California,33856,19760.9,San Francisco,115649.0,37.77956,-122.41931,81,230,26,34214
94107,849000.0,1,1,951,310 TOWNSEND ST APT 211,San Francisco,California,28607,5951.9,San Francisco,226692.0,37.76473,-122.39508,81,230,26,34329
94132,1495000.0,2,4,1699,65 MELBA AVE,San Francisco,California,29707,3662.2,San Francisco,146999.0,37.72219,-122.48475,81,230,26,34869
94117,999000.0,2,2,1090,111 BUENA VISTA TER # 111,San Francisco,California,40701,12329.7,San Francisco,242062.0,37.77002,-122.44425,81,230,26,34640
94114,1980000.0,3,2,1550,359 DIAMOND ST,San Francisco,California,34474,9612.9,San Francisco,254595.0,37.75814,-122.43547,81,230,26,34576
94123,1995000.0,2,3,1731,3131 PIERCE ST # 101,San Francisco,California,26002,9272.5,San Francisco,300463.0,37.80112,-122.43645,81,230,26,34774
94109,565000.0,1,1,571,1492 LARKIN ST APT 1,San Francisco,California,56114,20085.5,San Francisco,167261.0,37.79334,-122.42138,81,230,26,34378
94105,895000.0,2,2,1162,199 NEW MONTGOMERY ST UNIT 910,San Francisco,California,13810,10568.6,San Francisco,347725.0,37.79239,-122.39707,81,230,26,34275
94112,900000.0,2,1,875,130 LONDON ST,San Francisco,California,84477,9779.0,San Francisco,162512.0,37.7206,-122.44311,81,230,26,34505
94123,8250000.0,4,6,4405,2742 BAKER ST,San Francisco,California,26002,9272.5,San Francisco,300463.0,37.80112,-122.43645,81,230,26,34747
94105,599000.0,2,2,784,201 HARRISON ST APT 110,San Francisco,California,13810,10568.6,San Francisco,347725.0,37.79239,-122.39707,81,230,26,34273
94109,1795000.0,3,2,1690,1342 FILBERT ST,San Francisco,California,56114,20085.5,San Francisco,167261.0,37.79334,-122.42138,81,230,26,34382
94107,799000.0,1,1,778,451 KANSAS ST UNIT 571,San Francisco,California,28607,5951.9,San Francisco,226692.0,37.76473,-122.39508,81,230,26,34354
94107,2295000.0,3,3,1911,566 DE HARO ST,San Francisco,California,28607,5951.9,San Francisco,226692.0,37.76473,-122.39508,81,230,26,34351
94122,1400000.0,2,2,3865,4117 JUDAH ST,San Francisco,California,60144,7129.3,San Francisco,179517.0,37.76113,-122.48433,81,230,26,34734
